file,label_t60,T10_est,T10_err%,T20_est,T20_err%,T30_est,T30_err%
T60_0.011_000.wav,0.011,0.003266659674419266,70.30309386891577,13.81893637109755,125526.69428270501,7.711889574836228,70008.08704396572
T60_0.011_001.wav,0.011,nan,nan,14.70310346765914,133564.57697871947,7.953837799439382,72207.61635853983
T60_0.012_000.wav,0.012,nan,nan,0.017728944048986235,47.741200408218624,0.7813984441749949,6411.65370145829
T60_0.012_001.wav,0.012,0.003107589262187677,74.10342281510269,13.170726895016289,109656.05745846906,7.717602516109366,64213.354300911386
T60_0.012_002.wav,0.012,0.0036850236271737317,69.29146977355222,10.664922788506543,88774.35657088785,7.094457492721697,59020.479106014136
T60_0.012_003.wav,0.012,0.003381393156539235,71.82172369550638,14.82730303270806,123460.85860590049,7.942549097454502,66087.90914545418
T60_0.012_004.wav,0.012,nan,nan,0.01604536230765455,33.711352563787926,0.2642602258467568,2102.1685487229734
T60_0.012_005.wav,0.012,nan,nan,0.01603501714853471,33.62514290445592,0.34320603342439787,2760.050278536649
T60_0.012_006.wav,0.012,nan,nan,0.028690857169890758,139.0904764157563,0.7404968168530105,6070.806807108421
T60_0.012_007.wav,0.012,0.004767090913099429,60.2742423908381,11.47187020401138,95498.91836676149,7.21383172773996,60015.264397833
T60_0.012_008.wav,0.012,0.0031884937657448756,73.4292186187927,0.02050828746064222,70.90239550535182,0.5758257752898983,4698.548127415819
T60_0.012_009.wav,0.012,0.003271366995309613,72.73860837241989,0.026921488831593232,124.34574026327694,0.20541208987455686,1611.767415621307
T60_0.012_010.wav,0.012,nan,nan,0.022188452816868303,84.90377347390252,0.22719023917937828,1793.2519931614856
T60_0.012_011.wav,0.012,0.0031049840125267738,74.12513322894357,13.47981972898252,112231.83107485433,7.7299955548140415,64316.62962345035
T60_0.012_012.wav,0.012,nan,nan,11.952867578495152,99507.22982079293,7.363513039944884,61262.60866620737
T60_0.013_000.wav,0.013,0.003267963601796762,74.86181844771721,11.501993360099666,88376.87200076667,7.302288598515744,56071.45075781342
T60_0.013_001.wav,0.013,nan,nan,0.03220016086992861,147.693545153297,0.41228941555581033,3071.4570427370027
T60_0.013_002.wav,0.013,0.0051608118676817515,60.301447171678824,10.738808555854138,82506.21966041646,7.105418501714698,54557.06539780537
T60_0.013_003.wav,0.013,nan,nan,0.014798905082036583,13.837731400281417,0.38555460060823843,2865.8046200633726
T60_0.013_004.wav,0.013,0.004491737580364708,65.44817245873301,11.052664690175487,84920.49761673452,7.1302202528998,54747.84809922924
T60_0.013_005.wav,0.013,nan,nan,0.018257527245990297,40.44251727684844,0.39420601115529386,2932.353931963799
T60_0.013_006.wav,0.013,nan,nan,0.016139960732002186,24.153544092324516,0.371186332350814,2755.279479621646
T60_0.013_007.wav,0.013,nan,nan,0.011036595581106326,15.10311091456672,0.18679636528073273,1336.895117544098
T60_0.013_008.wav,0.013,0.006266778761505524,51.79400952688058,0.0141410440998408,8.777262306467703,0.02956590031126723,127.4300023943633
T60_0.013_009.wav,0.013,nan,nan,0.01655035676320744,27.31043664005724,0.34179400977773094,2529.1846905979305
T60_0.013_010.wav,0.013,0.0031766581505779444,75.56416807247734,0.020568697201237458,58.2207477018266,0.3511136463706547,2600.8742028511897
T60_0.013_011.wav,0.013,nan,nan,0.016413343543753112,26.256488798100868,0.5556144767216662,4173.957513243586
