scope,split,model,layer,n_samples,cka,bootstrap_mean,ci95_low,ci95_high,bootstrap_repeats,across_split_sd
split,test1,norm_w_denoise,encoder,1080,0.9500972777939859,0.950229037239766,0.9414137666899491,0.9578842507935856,1000,
split,test1,norm_w_denoise,tscb_1,1080,0.6790710263720897,0.680144847886223,0.6547236241693157,0.7062728059261527,1000,
split,test1,norm_w_denoise,tscb_2,1080,0.472933150523343,0.4750379741268437,0.45432311958637045,0.49795715898418,1000,
split,test1,norm_balanced,encoder,1080,0.9877351272120757,0.9877415681879447,0.9854691239225144,0.9898697697015059,1000,
split,test1,norm_balanced,tscb_1,1080,0.7114807985503544,0.7126265425590625,0.6850436268561543,0.7408628184262304,1000,
split,test1,norm_balanced,tscb_2,1080,0.7211433711300872,0.7216453484501995,0.6971083760552371,0.7437511671443467,1000,
split,test1,norm_w_t60,encoder,1080,0.9951840852632434,0.9952106065811929,0.9943948551020474,0.9959820021082452,1000,
split,test1,norm_w_t60,tscb_1,1080,0.7636517448809479,0.7641054126863778,0.7430834619432097,0.7850356452659862,1000,
split,test1,norm_w_t60,tscb_2,1080,0.8109880588335008,0.8118585671230762,0.7980337974785635,0.8247626812419218,1000,
split,test2,norm_w_denoise,encoder,1080,0.9542969127492686,0.9542866583973291,0.9465772462629068,0.9609565259221728,1000,
split,test2,norm_w_denoise,tscb_1,1080,0.672290548201542,0.6732706487913462,0.6399714689653574,0.7062519039779797,1000,
split,test2,norm_w_denoise,tscb_2,1080,0.4948489628903719,0.49691970723491874,0.4711285606440129,0.5232097291233047,1000,
split,test2,norm_balanced,encoder,1080,0.9886600427056998,0.988639781670068,0.9863254381508528,0.9905677236291576,1000,
split,test2,norm_balanced,tscb_1,1080,0.7357283367749247,0.7372022043055724,0.709551600573281,0.7638194890667495,1000,
split,test2,norm_balanced,tscb_2,1080,0.7165285372961916,0.7169732189191834,0.6942531226445835,0.7402425542209682,1000,
split,test2,norm_w_t60,encoder,1080,0.9958353344114089,0.9958320838262162,0.995088749100073,0.9964529390343817,1000,
split,test2,norm_w_t60,tscb_1,1080,0.7925905473986167,0.7928149313660012,0.7708555014040874,0.8129071050079154,1000,
split,test2,norm_w_t60,tscb_2,1080,0.8137879885553494,0.8144579009289505,0.8012300268455489,0.8278466144396359,1000,
split,test3,norm_w_denoise,encoder,1080,0.9540160328087164,0.9538768902495729,0.9471202979905372,0.9601110177310171,1000,
split,test3,norm_w_denoise,tscb_1,1080,0.7217038833742407,0.722469977147475,0.7004916359797857,0.743361913268164,1000,
split,test3,norm_w_denoise,tscb_2,1080,0.5305347365161965,0.5328559447381342,0.5095191844813961,0.5566441819481757,1000,
split,test3,norm_balanced,encoder,1080,0.9873884062637751,0.9874114005441063,0.9852458634586931,0.9893244047207138,1000,
split,test3,norm_balanced,tscb_1,1080,0.7406898172303549,0.7412714216340676,0.7173614532926733,0.7636954482802649,1000,
split,test3,norm_balanced,tscb_2,1080,0.6914952668289789,0.6919353776095777,0.6679949856759401,0.7168587514584177,1000,
split,test3,norm_w_t60,encoder,1080,0.996969166838313,0.9969629175267809,0.9963833124336752,0.9974227391950509,1000,
split,test3,norm_w_t60,tscb_1,1080,0.7582701691930752,0.758685046215178,0.74083237551424,0.7767704886289367,1000,
split,test3,norm_w_t60,tscb_2,1080,0.8140529253274418,0.8150983780817478,0.8014339525759696,0.8288680775390459,1000,
split,test4,norm_w_denoise,encoder,1080,0.9470068961427974,0.9468137659747647,0.9390242748611628,0.9537677810175516,1000,
split,test4,norm_w_denoise,tscb_1,1080,0.6921244630256289,0.693469906228479,0.6687574664344367,0.7163384280609568,1000,
split,test4,norm_w_denoise,tscb_2,1080,0.5543204492317151,0.5564983416694974,0.5318290486168569,0.5810826219467545,1000,
split,test4,norm_balanced,encoder,1080,0.9857185962101545,0.9857033756042239,0.9834558347301888,0.9876677257926831,1000,
split,test4,norm_balanced,tscb_1,1080,0.7409931412888024,0.7420725134376996,0.7185986019800382,0.7627878544234752,1000,
split,test4,norm_balanced,tscb_2,1080,0.6802263901599414,0.6809169050111222,0.656779108184546,0.7035373338847114,1000,
split,test4,norm_w_t60,encoder,1080,0.9963050317761586,0.9963020431689273,0.9957445287064578,0.9968591490901,1000,
split,test4,norm_w_t60,tscb_1,1080,0.7602266671477128,0.7611180026774117,0.7426215512565911,0.7787264809207071,1000,
split,test4,norm_w_t60,tscb_2,1080,0.8173026740738353,0.8181741314841697,0.8037562614926801,0.8322463571665062,1000,
macro,test1-test4,norm_w_denoise,encoder,4320,0.951354279873692,,,,,0.0034748533043169696
macro,test1-test4,norm_w_denoise,tscb_1,4320,0.6912974802433753,,,,,0.021878321780462593
macro,test1-test4,norm_w_denoise,tscb_2,4320,0.5131593247904066,,,,,0.0362838694508915
macro,test1-test4,norm_balanced,encoder,4320,0.9873755430979263,,,,,0.0012281257301882766
macro,test1-test4,norm_balanced,tscb_1,4320,0.7322230234611091,,,,,0.014037196765723433
macro,test1-test4,norm_balanced,tscb_2,4320,0.7023483913537998,,,,,0.01967656010342362
macro,test1-test4,norm_w_t60,encoder,4320,0.996073404572281,,,,,0.0007535709287005326
macro,test1-test4,norm_w_t60,tscb_1,4320,0.7686847821550882,,,,,0.016091622548271272
macro,test1-test4,norm_w_t60,tscb_2,4320,0.8140329116975318,,,,,0.0025834642667063893
pooled,test1+test2+test3+test4,norm_w_denoise,encoder,4320,0.9518062177104405,,,,,
pooled,test1+test2+test3+test4,norm_w_denoise,tscb_1,4320,0.6823459253737401,,,,,
pooled,test1+test2+test3+test4,norm_w_denoise,tscb_2,4320,0.4992158902365877,,,,,
pooled,test1+test2+test3+test4,norm_balanced,encoder,4320,0.9877012365827563,,,,,
pooled,test1+test2+test3+test4,norm_balanced,tscb_1,4320,0.7290662729901245,,,,,
pooled,test1+test2+test3+test4,norm_balanced,tscb_2,4320,0.7006690341657648,,,,,
pooled,test1+test2+test3+test4,norm_w_t60,encoder,4320,0.9959833796108247,,,,,
pooled,test1+test2+test3+test4,norm_w_t60,tscb_1,4320,0.7623927038626763,,,,,
pooled,test1+test2+test3+test4,norm_w_t60,tscb_2,4320,0.8110947321140165,,,,,
