rir,t60_original,t60_target,t60_back_estimated,error_pct
T60_0.081.wav,0.3827230768726084,0.32531461534171713,0.27392455860553094,15.7970328760683
T60_0.081.wav,0.3827230768726084,0.3827230768726084,0.3827230768726084,0.0
T60_0.081.wav,0.3827230768726084,0.44013153840349967,0.4892642239723052,11.163182203898806
T60_0.177_001.wav,0.3461148995357607,0.2941976646053966,0.2514363552029989,14.534890839379324
T60_0.177_001.wav,0.3461148995357607,0.3461148995357607,0.34611489953576063,1.603835931527773e-14
T60_0.177_001.wav,0.3461148995357607,0.3980321344661248,0.4475422281683262,12.438717735342806
T60_0.203_000.wav,0.3108337167396166,0.2642086592286741,0.2250299776332764,14.828689456952402
T60_0.203_000.wav,0.3108337167396166,0.3108337167396166,0.31083371673961646,3.571758676215886e-14
T60_0.203_000.wav,0.3108337167396166,0.35745877425055905,0.3947464258508447,10.431315241446285
T60_0.232_001.wav,0.3124785666001784,0.26560678161015167,0.22461626053760492,15.432784066752934
T60_0.232_001.wav,0.3124785666001784,0.3124785666001784,0.3124785666001784,0.0
T60_0.232_001.wav,0.3124785666001784,0.3593503515902052,0.40869377324975154,13.731285204311266
T60_0.277_001.wav,0.7073234783973951,0.6012249566377857,0.5336908931912624,11.232744532793896
T60_0.277_001.wav,0.7073234783973951,0.7073234783973951,0.707323478397395,1.5696114416286924e-14
T60_0.277_001.wav,0.7073234783973951,0.8134220001570043,0.922089857757861,13.35934577376589
T60_0.327.wav,0.534967452691887,0.45472233478810387,0.4069625599647345,10.503063335480308
T60_0.327.wav,0.534967452691887,0.534967452691887,0.5349674526918868,2.0753094773124198e-14
T60_0.327.wav,0.534967452691887,0.6152125705956699,0.7035396979758309,14.357172073815017
T60_0.359_000.wav,0.4370506729688569,0.3714930720235284,0.3192906132311067,14.0520679182721
T60_0.359_000.wav,0.4370506729688569,0.4370506729688569,0.4370506729688568,2.5402615607098448e-14
T60_0.359_000.wav,0.4370506729688569,0.5026082739141854,0.5709790482615098,13.603193161718213
T60_0.426_000.wav,0.6560386827763928,0.5576328803599339,0.4809731340449753,13.747350454922449
T60_0.426_000.wav,0.6560386827763928,0.6560386827763928,0.6560386827763927,1.6923133555579832e-14
T60_0.426_000.wav,0.6560386827763928,0.7544444851928517,0.8445058159793312,11.937436425618241
T60_0.470_001.wav,0.5655835005594899,0.4807459754755664,0.42278403534796194,12.056666739699072
T60_0.470_001.wav,0.5655835005594899,0.5655835005594899,0.5655835005594899,0.0
T60_0.470_001.wav,0.5655835005594899,0.6504210256434133,0.7457501490017597,14.656525481174965
T60_0.532_000.wav,0.8643269279611073,0.7346778887669412,0.6565029572677203,10.640708355933649
T60_0.532_000.wav,0.8643269279611073,0.8643269279611073,0.864326927961107,3.8534829427706343e-14
T60_0.532_000.wav,0.8643269279611073,0.9939759671552734,1.1314482183765946,13.83054075389391
T60_0.592.wav,1.0576898727980615,0.8990363918783523,0.803217306367898,10.657976292846156
T60_0.592.wav,1.0576898727980615,1.0576898727980615,1.0576898727980617,2.099335643042741e-14
T60_0.592.wav,1.0576898727980615,1.2163433537177706,1.378343095967439,13.318586545033842
T60_0.655_001.wav,0.8892530416803295,0.75586508542828,0.6599071784450418,12.695110388498449
T60_0.655_001.wav,0.8892530416803295,0.8892530416803295,0.8892530416803297,2.4969788633554356e-14
T60_0.655_001.wav,0.8892530416803295,1.0226409979323787,1.164407839965668,13.862816210177364
T60_0.724.wav,1.076526994663355,0.9150479454638518,0.8027511473777476,12.272231050054902
T60_0.724.wav,1.076526994663355,1.076526994663355,1.0765269946633553,2.0626013655557957e-14
T60_0.724.wav,1.076526994663355,1.2380060438628582,1.4177837412032714,14.521552478004573
T60_0.781_003.wav,0.904671608876092,0.7689708675446781,0.6686249338634895,13.049380401313886
T60_0.781_003.wav,0.904671608876092,0.904671608876092,0.904671608876092,0.0
T60_0.781_003.wav,0.904671608876092,1.0403723502075057,1.193214192488072,14.691071158329166
T60_0.868.wav,1.117180035985594,0.9496030305877547,0.8267227028470377,12.940178556997706
T60_0.868.wav,1.117180035985594,1.117180035985594,1.1171800359855941,1.9875454069418634e-14
T60_0.868.wav,1.117180035985594,1.2847570413834328,1.4697559815875203,14.399527244846208
T60_0.930.wav,1.1557533554485335,0.9823903521312535,0.8579740553227964,12.664649702487543
T60_0.930.wav,1.1557533554485335,1.1557533554485335,1.1557533554485329,5.763632972681923e-14
T60_0.930.wav,1.1557533554485335,1.3291163587658135,1.5159919393189027,14.060136971500192
T60_1.024.wav,1.802554267096142,1.5,1.335847069838126,10.94352867745827
T60_1.024.wav,1.802554267096142,1.5321711270317206,1.3828708676507708,9.744359278600271
T60_1.024.wav,1.802554267096142,1.802554267096142,1.8025542670961412,4.9273324854233236e-14
T60_1.144_001.wav,1.3683762564888802,1.1631198180155482,1.0300415121635464,11.441495862313888
T60_1.144_001.wav,1.3683762564888802,1.3683762564888802,1.3683762564888795,4.8680603132089425e-14
T60_1.144_001.wav,1.3683762564888802,1.5,1.6202334560774774,8.015563738498493
T60_1.268.wav,2.1337847749619896,1.5,1.179218413024935,21.385439131671
T60_1.268.wav,2.1337847749619896,1.8137170587176912,1.6306211745904693,10.095063243032614
T60_1.268.wav,2.1337847749619896,2.1337847749619896,2.133784774961989,2.0812277557748224e-14
T60_1.484.wav,1.7180343204346114,1.4603291723694196,1.275127017111086,12.682219787326346
T60_1.484.wav,1.7180343204346114,1.5,1.3453327778836426,10.311148141090493
T60_1.484.wav,1.7180343204346114,1.7180343204346114,1.7180343204346098,9.047038327395139e-14
